ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
65490180,09/06/2009,261,ARSON 1,114,ARSON,PL 1502001,F,M,13,0,25-44,M,BLACK,986565.0,210516.0,40.744502305000026,-73.99164693399997
63762690,07/14/2009,261,ARSON 1,114,ARSON,PL 150201X,F,M,10,0,<18,M,WHITE,985572.0,211509.0,40.74722804600003,-73.99523033799994
59491517,03/11/2009,261,ARSON 1,114,ARSON,PL 150201X,F,Q,113,0,18-24,M,BLACK,1045511.0,184989.0,40.67422507600002,-73.77915169499995
52411649,10/22/2008,261,ARSON 1,114,ARSON,PL 1502001,F,M,23,0,<18,M,WHITE HISPANIC,999637.0,227795.0,40.79191559100008,-73.94443234499995
50144303,08/17/2008,261,ARSON 1,114,ARSON,PL 1502001,F,M,32,71,18-24,F,BLACK,1002040.0,242180.0,40.83139390000007,-73.93571595499998
49914764,08/08/2008,261,ARSON 1,114,ARSON,PL 1502001,F,B,48,71,45-64,M,BLACK,1015126.0,245153.0,40.839517869000076,-73.88841506699998
49568466,08/01/2008,261,ARSON 1,114,ARSON,PL 1502001,F,K,78,0,25-44,M,BLACK,991374.0,187228.0,40.680579719000036,-73.97431655799994
44825261,03/26/2008,261,ARSON 1,114,ARSON,PL 1502001,F,M,34,0,25-44,M,WHITE HISPANIC,1002106.0,249501.0,40.85148777400008,-73.93545796699993
44347340,03/07/2008,261,ARSON 1,114,ARSON,PL 1502001,F,Q,109,71,18-24,M,WHITE,1032084.0,216954.0,40.762043893000055,-73.82732958099997
44347258,03/07/2008,261,ARSON 1,114,ARSON,PL 1502001,F,Q,109,0,18-24,M,WHITE,1035351.0,224274.0,40.78211706100007,-73.81548069099993
44347269,03/07/2008,261,ARSON 1,114,ARSON,PL 1502001,F,Q,109,71,18-24,M,WHITE,1032084.0,216954.0,40.762043893000055,-73.82732958099997
39276474,02/20/2008,261,ARSON 1,114,ARSON,PL 1502001,F,M,9,0,25-44,F,BLACK,990294.0,203412.0,40.72500181100002,-73.97819586899993
37452367,01/03/2008,261,ARSON 1,114,ARSON,PL 1502001,F,M,9,0,25-44,M,WHITE,990294.0,203412.0,40.72500181100002,-73.97819586899993
37096021,12/18/2007,261,ARSON 1,114,ARSON,PL 1502001,F,K,84,0,25-44,M,ASIAN / PACIFIC ISLANDER,987348.0,191974.0,40.69360872800007,-73.98882972599996
35982079,11/27/2007,261,ARSON 1,114,ARSON,PL 1502001,F,Q,105,71,45-64,F,BLACK,1056118.0,186786.0,40.67907765900002,-73.74089383799998
34163150,09/03/2007,261,ARSON 1,114,ARSON,PL 1502001,F,S,120,0,25-44,M,BLACK,945714.0,168211.0,40.628301244000056,-74.13883045699998
32967350,07/08/2007,261,ARSON 1,114,ARSON,PL 1502001,F,Q,115,71,25-44,M,BLACK,1018714.0,214946.0,40.756594678000056,-73.87560301799994
29397752,06/04/2007,261,ARSON 1,114,ARSON,PL 1502001,F,K,73,0,25-44,F,BLACK,1008228.0,183789.0,40.67111083400005,-73.91356336299998
28636985,04/24/2007,261,ARSON 1,114,ARSON,PL 150201H,F,K,62,71,45-64,F,WHITE,985249.0,160827.0,40.608117460000074,-73.99640355299994
26611794,01/31/2007,261,ARSON 1,114,ARSON,PL 1502001,F,B,44,0,25-44,F,BLACK,1006537.0,244511.0,40.83778161800007,-73.91945797099999
26043799,01/01/2007,261,ARSON 1,114,ARSON,PL 1502001,F,B,41,71,25-44,M,ASIAN / PACIFIC ISLANDER,1013086.0,236614.0,40.81608766100004,-73.89582435399994
24627885,10/04/2006,261,ARSON 1,114,ARSON,PL 1502001,F,Q,103,0,25-44,F,BLACK,1041879.0,197084.0,40.707447364000075,-73.79214176799998
10828955,03/31/2006,261,ARSON 1,114,ARSON,PL 1502001,F,K,75,0,25-44,M,BLACK,1016152.0,183429.0,40.67009770900006,-73.88499993699998
184936135,07/09/2018,261,ARSON 1,114,ARSON,PL 1502001,F,M,9,0,25-44,M,WHITE HISPANIC,990294,203412,40.72500181100002,-73.97819586899993
184911573,07/08/2018,261,ARSON 1,114,ARSON,PL 1502001,F,M,9,0,25-44,M,BLACK,990294,203412,40.72500181100002,-73.97819586899993
178292471,04/18/2018,261,ARSON 1,114,ARSON,PL 1502001,F,M,9,0,25-44,M,UNKNOWN,990294,203412,40.72500181100002,-73.97819586899993
175036930,02/21/2018,261,ARSON 1,114,ARSON,PL 150201X,F,K,75,97,25-44,M,BLACK,1017119,183909,40.67141166300007,-73.88151172399995
174326706,02/02/2018,261,ARSON 1,114,ARSON,PL 150201X,F,M,19,0,45-64,M,WHITE HISPANIC,993602,220583,40.772129009000025,-73.96623737299996
